condition,record,status,channel,old_gain,new_gain,valid_gains
"('earndb', 'N3', 1000, 70)",N3_evoked_raw_70_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 70)",N3_evoked_raw_70_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 70)",N3_evoked_raw_70_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 70)",N3_evoked_raw_70_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 70)",N3_evoked_raw_70_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 70)",N3_evoked_raw_70_F4_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 70)",N3_evoked_raw_70_F4_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 70)",N3_evoked_raw_70_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 70)",N3_evoked_raw_70_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 70)",N3_evoked_raw_70_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 70)",N3_evoked_raw_70_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 75)",N3_evoked_raw_75_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 75)",N3_evoked_raw_75_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 75)",N3_evoked_raw_75_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 75)",N3_evoked_raw_75_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 75)",N3_evoked_raw_75_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 75)",N3_evoked_raw_75_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 75)",N3_evoked_raw_75_F4_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 75)",N3_evoked_raw_75_F4_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 75)",N3_evoked_raw_75_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 75)",N3_evoked_raw_75_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 75)",N3_evoked_raw_75_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 75)",N3_evoked_raw_75_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 80)",N3_evoked_raw_80_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 80)",N3_evoked_raw_80_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 80)",N3_evoked_raw_80_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 80)",N3_evoked_raw_80_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 80)",N3_evoked_raw_80_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 80)",N3_evoked_raw_80_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 80)",N3_evoked_raw_80_F4_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 80)",N3_evoked_raw_80_F4_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 80)",N3_evoked_raw_80_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 80)",N3_evoked_raw_80_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 80)",N3_evoked_raw_80_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 80)",N3_evoked_raw_80_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 85)",N3_evoked_raw_85_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 85)",N3_evoked_raw_85_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 85)",N3_evoked_raw_85_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 85)",N3_evoked_raw_85_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 85)",N3_evoked_raw_85_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 85)",N3_evoked_raw_85_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 85)",N3_evoked_raw_85_F4_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 85)",N3_evoked_raw_85_F4_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 85)",N3_evoked_raw_85_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 85)",N3_evoked_raw_85_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 85)",N3_evoked_raw_85_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 85)",N3_evoked_raw_85_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 90)",N3_evoked_raw_90_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 90)",N3_evoked_raw_90_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 90)",N3_evoked_raw_90_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 90)",N3_evoked_raw_90_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 90)",N3_evoked_raw_90_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 90)",N3_evoked_raw_90_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 90)",N3_evoked_raw_90_F4_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 90)",N3_evoked_raw_90_F4_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 90)",N3_evoked_raw_90_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 90)",N3_evoked_raw_90_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 90)",N3_evoked_raw_90_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 90)",N3_evoked_raw_90_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 95)",N3_evoked_raw_95_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 95)",N3_evoked_raw_95_F1_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 95)",N3_evoked_raw_95_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 95)",N3_evoked_raw_95_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 95)",N3_evoked_raw_95_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 1000, 95)",N3_evoked_raw_95_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 95)",N3_evoked_raw_95_F4_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 95)",N3_evoked_raw_95_F4_R12,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 95)",N3_evoked_raw_95_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 95)",N3_evoked_raw_95_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 95)",N3_evoked_raw_95_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N3', 4000, 95)",N3_evoked_raw_95_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 100)",N4_evoked_raw_100_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 100)",N4_evoked_raw_100_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 100)",N4_evoked_raw_100_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 25)",N4_evoked_raw_25_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 25)",N4_evoked_raw_25_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 30)",N4_evoked_raw_30_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 30)",N4_evoked_raw_30_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 30)",N4_evoked_raw_30_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 30)",N4_evoked_raw_30_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 30)",N4_evoked_raw_30_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 30)",N4_evoked_raw_30_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 30)",N4_evoked_raw_30_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 30)",N4_evoked_raw_30_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 35)",N4_evoked_raw_35_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 35)",N4_evoked_raw_35_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 35)",N4_evoked_raw_35_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 35)",N4_evoked_raw_35_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 35)",N4_evoked_raw_35_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 35)",N4_evoked_raw_35_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 35)",N4_evoked_raw_35_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 40)",N4_evoked_raw_40_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 40)",N4_evoked_raw_40_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 40)",N4_evoked_raw_40_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 40)",N4_evoked_raw_40_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 40)",N4_evoked_raw_40_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 40)",N4_evoked_raw_40_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 40)",N4_evoked_raw_40_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 40)",N4_evoked_raw_40_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 40)",N4_evoked_raw_40_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 45)",N4_evoked_raw_45_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 45)",N4_evoked_raw_45_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 45)",N4_evoked_raw_45_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 45)",N4_evoked_raw_45_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 45)",N4_evoked_raw_45_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 45)",N4_evoked_raw_45_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 45)",N4_evoked_raw_45_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 45)",N4_evoked_raw_45_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 45)",N4_evoked_raw_45_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 50)",N4_evoked_raw_50_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 50)",N4_evoked_raw_50_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 50)",N4_evoked_raw_50_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 50)",N4_evoked_raw_50_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 50)",N4_evoked_raw_50_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 50)",N4_evoked_raw_50_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 50)",N4_evoked_raw_50_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 50)",N4_evoked_raw_50_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 55)",N4_evoked_raw_55_F1_R10,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 55)",N4_evoked_raw_55_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 55)",N4_evoked_raw_55_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 55)",N4_evoked_raw_55_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 55)",N4_evoked_raw_55_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 55)",N4_evoked_raw_55_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 55)",N4_evoked_raw_55_F4_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 55)",N4_evoked_raw_55_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 60)",N4_evoked_raw_60_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 60)",N4_evoked_raw_60_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 60)",N4_evoked_raw_60_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 60)",N4_evoked_raw_60_F1_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 60)",N4_evoked_raw_60_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 60)",N4_evoked_raw_60_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 60)",N4_evoked_raw_60_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 65)",N4_evoked_raw_65_F1_R1,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 65)",N4_evoked_raw_65_F1_R3,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 65)",N4_evoked_raw_65_F1_R5,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 65)",N4_evoked_raw_65_F1_R7,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 65)",N4_evoked_raw_65_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 65)",N4_evoked_raw_65_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 65)",N4_evoked_raw_65_F4_R8,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 70)",N4_evoked_raw_70_F1_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 70)",N4_evoked_raw_70_F1_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 1000, 70)",N4_evoked_raw_70_F1_R6,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 70)",N4_evoked_raw_70_F4_R2,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
"('earndb', 'N4', 4000, 70)",N4_evoked_raw_70_F4_R4,corrected,1,0.01,21474836480.0,"[21474836480.0, 21474836480.0]"
